iddetalle_venta,idventa,idarticulo,cantidad,precio,descuento
6885,151,76,1,551.91,67.63
6886,503,252,2,196.37,25.64
6887,552,206,10,21.46,4.94
6888,491,6,7,651.16,102.65
6889,303,239,9,379.49,89.24
6890,165,271,3,291.25,33
6891,789,244,9,436.24,66.45
6892,224,28,4,480.33,61.48
6893,583,144,10,135.22,7.75
6894,975,150,1,217.02,48.76
6895,594,144,10,111.18,12.78
6896,441,240,8,396.28,82.94
6897,247,299,1,414.4,42.93
6898,479,180,5,62.83,13.01
6899,257,78,1,469.77,78.59
6900,99,18,8,308.19,40.56
6901,470,178,3,161.93,15.36
6902,148,111,1,601.16,79.67
6903,232,68,2,191.85,34.38
6904,924,154,7,305.87,71.92
6905,453,175,7,364.54,69.29
6906,392,129,4,55.62,10.88
6907,472,87,6,147.98,24.61
6908,254,232,10,413.74,85.17
6909,209,111,9,227.6,39.18
6910,816,114,5,110.95,8.23
6911,406,51,6,32.6,4.21
6912,909,286,2,6.11,0.38
6913,891,255,10,132.06,15.27
6914,798,145,5,743.16,70.13
6915,817,25,8,606.9,142.51
6916,595,98,9,266.14,43.96
6917,694,159,3,552.12,36.66
6918,887,205,8,151.76,27.88
6919,500,179,4,613.39,118.35
6920,623,54,1,23.16,2.73
6921,743,216,1,180.15,17.49
6922,60,252,5,123.27,11.99
6923,449,59,8,511.66,38.75
6924,506,95,2,565.08,116.83
6925,229,146,8,619.65,116.24
6926,759,2,3,599.15,113.17
6927,207,176,4,546.72,130.3
6928,934,112,7,141.23,26.22
6929,1000,243,6,431.66,53.54
6930,408,174,7,422.98,39
6931,548,119,8,501.54,124.53
6932,831,87,4,348.63,18.51
6933,63,285,4,514.87,78.03
6934,815,7,8,606.78,84.71
6935,519,186,9,170.68,28.66
6936,386,116,2,662.52,149.36
6937,148,270,6,521.95,40.09
6938,689,152,7,534.96,102.99
6939,181,266,6,380.91,76.25
6940,689,106,1,262.76,23.18
6941,47,277,10,453.48,24.31
6942,413,142,7,571.39,50.15
6943,608,163,9,291.17,52.26
6944,532,36,7,360.82,80.34
6945,440,11,5,409.01,54.94
6946,643,38,6,291.06,36.32
6947,852,232,7,107.49,17.83
6948,923,78,3,9.53,1.88
6949,432,187,2,37.53,2.2
6950,960,55,3,62.37,7.15
6951,529,248,4,741.68,118.98
6952,865,175,10,697.53,128.66
6953,618,207,9,205.09,31.77
6954,928,189,8,261.58,62.78
6955,73,200,2,139.31,12.14
6956,923,274,9,244.83,55.31
6957,112,260,5,44.41,8.29
6958,65,87,7,24.56,2.42
6959,43,1,3,62.58,5.54
6960,264,258,2,210.66,32.3
6961,25,153,1,263.05,25.3
6962,556,122,5,407.59,42.19
6963,279,45,8,462.97,38.51
6964,78,294,4,421.89,53.27
6965,483,119,8,369.91,31.83
6966,821,274,10,293.27,36.5
6967,63,261,6,189.31,22.97
6968,870,153,10,193.18,23.14
6969,130,144,1,72.66,17.51
6970,537,252,3,434.94,66.94
6971,487,266,8,57.92,13
6972,116,116,6,350.21,29.17
6973,917,113,7,586.93,43.44
6974,720,257,10,699.39,78.46
6975,708,212,3,626.18,139.19
6976,806,50,5,718.78,132.97
6977,14,107,9,298.09,68.73
6978,110,194,1,56.8,7.1
6979,201,23,3,124.17,29.8
6980,729,156,9,220.33,53.88
6981,81,238,1,203.01,30.39
6982,482,152,8,6.68,0.85
6983,605,202,4,422.74,91.81
6984,512,224,2,617.23,145.97
6985,949,235,5,155.18,13.05
6986,315,265,9,472.05,96.72
6987,631,58,1,185.02,24.19
6988,628,290,5,166.05,36.05
6989,280,93,3,560.9,115.53
6990,553,262,1,26.5,5.47
6991,992,8,6,483.63,71.92
6992,184,266,2,153.01,34.05
6993,765,189,5,693.73,49.1
6994,425,46,9,352.24,65.45
6995,388,70,4,425.35,75.3
6996,842,219,1,410.01,101.25
6997,248,275,4,694.82,169.69
6998,191,22,7,567.89,122.18
6999,361,273,2,530.93,61.11
7000,315,173,2,690.47,46.02
7001,518,10,10,142.13,13.43
7002,60,62,2,1.33,0.29
7003,660,68,3,308.78,42.69
7004,465,22,7,237.4,41.23
7005,783,12,3,518,125.55
7006,763,188,8,28.54,4.78
7007,136,262,10,106.71,21.51
7008,750,103,2,75.26,12.12
7009,821,198,7,286.07,45.22
7010,94,113,6,188.29,19.4
7011,121,31,5,95.5,17.02
7012,708,92,4,483.77,42.09
7013,190,62,9,579.07,137.48
7014,217,164,10,375.62,74.56
7015,11,97,5,569.43,42.54
7016,494,162,4,218,29.37
7017,432,1,5,742.77,122.13
7018,247,295,9,118.37,16.58
7019,147,223,7,413.16,71.81
7020,262,18,8,311.24,36.18
7021,542,75,3,375.86,40.25
7022,213,108,10,733.82,112.55
7023,211,183,9,35.32,5.58
7024,613,119,3,414.01,38.69
7025,877,5,2,645.74,33.13
7026,789,263,6,665.39,126.55
7027,745,278,10,135.57,26.78
7028,719,25,1,724.08,118.9
7029,590,218,8,553.58,107.98
7030,86,15,9,670.71,134.71
7031,356,159,6,396.45,28.29
7032,667,186,5,339.84,20.89
7033,713,23,7,719.79,142.72
7034,582,11,3,1.16,0.2
7035,258,256,8,113.34,17.82
7036,202,76,1,80.21,14.33
7037,807,217,10,223.48,16.87
7038,406,146,2,726.99,73.88
7039,591,12,4,179.1,12.71
7040,896,102,3,549.77,91.55
7041,278,195,8,288.47,32.22
7042,973,51,6,600.97,126.72
7043,147,3,5,379.74,51.13
7044,838,43,10,254.81,50.33
7045,963,38,2,265.59,33.73
7046,792,119,1,731.95,90.6
7047,5,181,7,253.68,61.34
7048,392,121,6,143.29,35.18
7049,986,216,7,247.14,39.46
7050,639,107,9,95.78,6.8
7051,308,291,6,441.53,101.38
7052,988,143,3,398.35,80.21
7053,787,124,10,79.78,17.6
7054,33,248,5,387.9,24.71
7055,963,274,2,408.96,54.7
7056,305,57,9,96.19,23.53
7057,240,69,8,681.4,132.84
7058,452,167,4,628.53,146.81
7059,603,39,2,614.53,49.6
7060,901,28,10,236.92,14.3
7061,663,165,3,238.27,52.97
7062,432,234,10,236.45,49.4
7063,956,292,10,587.9,112.42
7064,950,120,7,582.5,61.85
7065,110,225,4,625.92,151.48
7066,985,205,1,712.65,137.63
7067,614,66,8,255.2,35.12
7068,396,262,10,356.38,27.87
7069,386,267,8,151.2,12.49
7070,494,22,2,674.24,40.43
7071,204,59,9,318.78,29.09
7072,865,113,8,507.62,122
7073,710,41,7,618.77,149.79
7074,428,125,1,432.98,25.21
7075,656,223,9,108.22,17.7
7076,725,48,7,230.65,16.51
7077,733,52,2,236.27,40.77
7078,765,298,10,69.23,13.33
7079,621,231,9,380.11,44.69
7080,988,52,2,631.61,156.7
7081,921,269,5,684.16,52.85
7082,248,86,6,705.06,85.08
7083,850,131,7,280,14.65
7084,141,287,10,726.48,76.95
7085,402,173,1,588.16,106.14
7086,776,33,4,719.89,117.63
7087,950,150,5,255.38,61.16
7088,713,65,3,103.34,7.58
7089,250,213,9,707.73,123.77
7090,43,226,1,15.75,1.44
7091,743,104,6,516.82,104.48
7092,144,279,1,32.6,6.43
7093,802,203,7,157.46,8.98
7094,990,210,10,730.23,53.51
7095,227,208,8,663.63,163.77
7096,732,212,6,249.13,33.59
7097,163,285,8,535.76,129.62
7098,312,175,5,732.61,41.86
7099,683,50,5,576.59,81.24
7100,308,5,1,207.5,11.43
7101,647,289,3,740.94,44.02
7102,374,210,10,348.84,76.97
7103,729,19,1,428.91,82.55
7104,61,161,3,126.49,29.04
7105,656,241,3,639.79,55.46
7106,508,266,10,421.8,99.54
7107,153,121,7,567.86,78.9
7108,169,23,7,376.86,25.07
7109,465,225,10,130.67,27.67
7110,396,197,10,709.65,60.94
7111,913,137,6,737.35,69.84
7112,715,187,7,346.55,47.68
7113,546,18,2,511.78,43.22
7114,632,39,1,358.62,50.37
7115,736,25,2,647.68,61.15
7116,679,227,6,472.1,58.93
7117,746,32,8,526.95,30.14
7118,766,293,3,582.67,125.91
7119,126,26,9,436.42,59.57
7120,985,189,5,200.95,17.05
7121,790,214,9,695.61,122.5
7122,7,36,4,496.27,91.86
7123,532,268,6,420.46,48.01
7124,128,275,7,80.43,5.32
7125,805,35,9,259.26,45.67
7126,794,52,7,279.49,39.27
7127,759,4,5,707,112.37
7128,701,263,9,97.56,16.59
7129,917,7,8,343.5,53.3
7130,994,127,8,589.6,80.98
7131,284,130,5,734.37,140.34
7132,318,128,8,539.52,65.86
7133,624,255,5,497.54,30.19
7134,801,48,1,247.99,59.49
7135,1,276,3,424.44,65.37
7136,964,72,6,38.41,8.85
7137,531,259,2,451.1,63.7
7138,361,104,5,525.91,114.8
7139,335,2,7,103.27,21.12
7140,862,51,1,326.47,39.35
7141,5,25,5,592.27,105.64
7142,457,138,4,108.73,22.25
7143,228,51,10,107.51,5.91
7144,504,242,8,365.86,37.19
7145,453,250,7,676.78,150.73
7146,203,187,9,606.21,101.1
7147,495,106,6,377.57,29.79
7148,356,32,4,551.97,92.42
7149,797,93,7,4.71,0.73
7150,948,74,10,425.79,22
7151,969,33,7,496.63,82.82
7152,154,115,4,611.68,125.45
7153,176,157,3,494.73,119.85
7154,891,72,6,380.32,50.33
7155,918,22,4,567.19,35.28
7156,4,238,2,347.77,38.55
7157,283,246,5,710.19,150.7
7158,265,86,10,418.02,48.42
7159,208,110,4,117.86,10.15
7160,612,101,4,676.54,63.78
7161,630,241,3,522.63,36.27
7162,851,67,7,331.39,34.65
7163,254,76,5,396.02,66.71
7164,128,79,4,491.36,71.5
7165,812,246,5,357.13,36.9
7166,955,138,5,743.66,68.34
7167,380,232,1,64.42,11.72
7168,783,71,10,601.1,87.3
7169,298,255,10,266.48,47.2
7170,342,212,3,683.47,66.31
7171,109,224,6,225.04,47.89
7172,548,192,7,342.39,37.67
7173,899,108,6,190.73,43.62
7174,592,107,7,671.57,155.01
7175,276,136,5,614.45,52.19
7176,86,29,2,349.36,25.4
7177,342,55,5,592.55,128.55
7178,631,240,8,363.1,59.73
7179,915,118,10,40.38,2.42
7180,179,217,10,220.06,27.19
7181,960,206,9,605.31,93.21
7182,185,13,5,176.21,25.81
7183,997,157,4,79.06,10.87
7184,184,212,5,545.38,37.42
7185,194,84,3,632.34,119.08
7186,422,247,8,489.14,28.25
7187,22,200,6,304.82,19.58
7188,284,38,6,145.22,31.58
7189,461,203,2,327.78,50.39
7190,607,133,5,153.02,24.22
7191,906,55,1,307.87,23.87
7192,410,272,5,74.56,16.76
7193,571,55,9,122.94,7.68
7194,496,205,3,287.06,18.31
7195,676,40,5,557.07,133.94
7196,57,42,5,331.99,49.79
7197,503,281,6,289.77,60.06
7198,256,185,7,237.94,52.44
7199,343,160,9,678.52,158.06
7200,409,101,5,108.66,19.04
7201,214,10,3,370.22,39.18
7202,556,198,5,425.3,55.34
7203,715,297,9,4.21,0.64
7204,62,232,1,544.08,87.8
7205,23,256,8,403.95,82.93
7206,391,202,7,292.1,66.07
7207,340,82,3,154.14,26.04
7208,535,142,1,435.88,62.88
7209,284,76,8,293.29,53.35
7210,47,80,4,353.02,50.92
7211,635,5,8,641.54,98.7
7212,842,277,2,277.12,28.46
7213,524,300,4,6.89,0.64
7214,303,293,1,707.55,165.61
7215,451,105,3,496.36,123.33
7216,842,254,1,555.75,126.48
7217,776,53,3,375.27,23.29
7218,313,27,1,287.04,54.79
7219,338,216,4,42.33,4.77
7220,625,108,5,723.81,155.48
7221,944,234,2,615.55,49.16
7222,328,192,5,272.59,34.19
7223,810,176,5,254.05,62.32
7224,773,213,5,711.95,105.81
7225,654,26,1,60.68,8.58
7226,427,221,9,470.05,85.28
7227,983,37,4,262.4,33.54
7228,592,10,4,100.43,9.89
7229,128,100,10,368.68,50.09
7230,560,56,2,139.56,21.74
7231,392,233,4,268.97,60.42
7232,455,250,2,614.59,113.58
7233,505,224,8,373.28,32.99
7234,547,217,4,742.81,184.43
7235,866,202,10,495.37,120.05
7236,331,105,10,451.85,41.21
7237,836,103,8,706.17,91.85
7238,823,239,6,129.95,31.05
7239,170,292,10,212.16,22.71
7240,990,28,7,26.38,4.34
7241,274,246,1,490.59,100.38
7242,700,31,8,86.04,14.74
7243,883,30,8,175.38,37.87
7244,820,64,4,431.65,48.64
7245,440,221,2,39.06,2.78
7246,469,197,10,53.86,3.74
7247,99,128,3,569.49,108.58
7248,178,206,1,212.18,18.16
7249,853,31,10,348.79,32.6
7250,640,237,10,344.59,77.47
7251,976,13,2,159.51,34.06
7252,666,211,9,486.8,26.18
7253,206,51,7,43.97,7.1
7254,140,176,2,679.12,92.56
7255,537,254,1,341.68,49.2
7256,496,37,3,617.91,110.01
7257,809,2,8,194.85,41.61
7258,134,98,1,56.01,13.14
7259,939,27,4,67.9,4.24
7260,753,283,8,104.57,24.64
7261,7,13,6,560.07,39.64
7262,838,239,9,361.23,52.84
7263,360,269,2,260.94,20.01
7264,361,194,7,637.55,154.79
7265,178,119,5,546.76,49.72
7266,34,128,9,167.64,9.91
7267,593,62,10,689.95,55.67
7268,764,33,9,139.61,11.71
7269,289,245,8,694.34,125.77
7270,380,281,6,166.18,36.37
7271,73,283,10,724.06,70.97
7272,690,276,3,683.35,48.61
7273,502,269,1,662.24,134.62
7274,997,187,8,601.95,79.74
7275,720,67,10,610.12,126.34
7276,772,107,9,11.1,2.46
7277,887,155,5,336.07,53.85
7278,612,170,9,529.57,38.21
7279,367,99,3,685.67,62.04
7280,749,184,4,492.55,109.42
7281,460,71,3,451.33,66.58
7282,717,85,5,691.29,73.82
7283,671,44,9,655.83,87.6
7284,710,130,1,137.86,26.03
7285,64,68,6,310.71,37.4
7286,460,84,7,383.94,65
7287,862,187,5,590.52,41.84
7288,970,116,7,643.98,79.26
7289,409,22,5,396.87,87.81
7290,737,50,2,723.89,87.12
7291,624,59,1,390.74,46.34
7292,18,83,8,54.01,5.27
7293,860,28,4,707.68,166.97
7294,293,161,10,575.94,97.59
7295,899,196,5,307.12,43.97
7296,614,23,8,107.01,5.6
7297,190,273,3,622.18,43.77
7298,584,184,10,74.11,12.31
7299,490,188,4,425.02,32.97
7300,519,289,2,474.11,45.9
7301,18,99,5,671.31,47.11
7302,553,151,8,659.45,90.59
7303,43,3,2,259.81,52.96
7304,383,161,7,717.4,144.6
7305,193,167,10,208.91,22.7
7306,629,189,7,147.45,8.68
7307,832,202,8,602.02,139.4
7308,908,145,6,727.76,142.38
7309,139,137,9,418.95,78.97
7310,180,239,5,186.44,18.6
7311,721,279,6,473.38,115.15
7312,387,57,1,359,78.87
7313,250,94,2,724.68,105.73
7314,945,12,7,689.4,85.26
7315,70,154,5,342.79,29.65
7316,179,95,5,702.39,78.15
7317,427,183,8,570.83,71.99
7318,968,21,6,177.13,40.23
7319,729,22,8,44.85,10.07
7320,841,90,10,707.53,161.3
7321,732,95,1,494.95,76.39
7322,275,250,6,343.1,37.03
7323,401,183,6,715.9,109.04
7324,264,236,9,597.15,80.04
7325,396,160,4,89.14,20.14
7326,41,151,8,569.19,80.42
7327,282,270,10,58.91,6.28
7328,236,123,6,661.39,120.64
7329,354,269,4,639.36,121.76
7330,117,63,5,536.23,71.56
7331,685,127,7,627.15,87.37
7332,571,217,2,174.8,18.69
7333,591,29,2,715.27,88.23
7334,595,174,3,90.75,6.36
7335,186,263,6,708.22,126.19
7336,41,35,10,604.86,121.81
7337,188,65,7,581.41,78.94
7338,57,93,1,160.45,15.74
7339,342,76,5,35.58,8.54
7340,6,225,6,270.92,44.54
7341,518,68,3,194.21,19.08
7342,224,123,10,240.46,22.31
7343,843,204,7,330.76,82.06
7344,941,77,10,205.17,38.83
7345,79,55,3,116.56,18.46
7346,471,73,4,96.94,23.73
7347,447,209,9,661.37,131.7
7348,209,70,10,236.32,49.7
7349,460,17,8,511.51,48.91
7350,990,172,10,32.63,3.02
7351,831,79,3,730.36,99.53
7352,543,10,6,615.56,66.54
7353,559,201,3,88.94,17.1
7354,193,127,8,221.07,14.04
7355,20,132,4,461.09,27.66
7356,808,63,10,140.7,11.96
7357,748,147,4,247.08,55.49
7358,475,276,4,173.55,33.27
7359,794,57,10,190.76,19.72
7360,209,233,9,678.03,45.94
7361,668,231,8,364.96,55.87
7362,125,191,10,596.8,139.2
7363,931,104,9,691.98,102.07
7364,149,283,6,46.26,10.1
7365,900,56,5,300.2,46.85
7366,745,285,3,260.05,42.04
7367,420,80,6,243.16,37.63
7368,321,135,3,412.04,76.74
7369,541,296,2,727.63,176.44
7370,542,173,6,383.96,56.91
7371,851,157,8,721.97,143.9
7372,743,45,5,379.67,21.47
7373,589,191,2,545.62,87.71
7374,838,262,6,326.4,69.1
7375,184,219,6,56.77,7.61
7376,888,44,4,590.79,65.21
7377,424,222,5,251,59.91
7378,690,214,9,127.87,23.38
7379,303,187,1,427.31,72.2
7380,873,183,7,292.36,42.15
7381,764,54,1,34.13,8.02
7382,2,234,4,275,45.37
7383,811,287,7,664.84,93.83
7384,670,13,8,468.65,36.61
7385,141,147,9,636.71,83.44
7386,639,101,8,633.72,53.86
7387,164,117,10,609.11,107.15
7388,730,25,6,309.6,34.67
7389,848,253,1,305.14,21.43
7390,525,284,4,400.65,59.32
7391,423,12,10,348.31,19.12
7392,863,182,4,415.6,102.15
7393,757,71,3,424.56,104.87
7394,508,45,3,96.76,15.55
7395,67,152,3,557.09,84.39
7396,880,170,10,177.83,20.77
7397,370,200,6,27.63,4.52
7398,451,225,3,166.51,13.35
7399,523,271,5,340.34,48.55
7400,353,118,8,544.14,101.82
7401,955,154,5,623.15,127.66
7402,646,229,5,702.48,77.75
7403,185,126,3,453.22,107.65
7404,2,126,2,693.23,94.35
7405,936,76,2,130.21,12.99
7406,613,232,6,97.11,9.6
7407,338,206,8,160.98,21.62
7408,637,99,10,412.61,65.09
7409,550,135,2,569.92,126.24
7410,646,83,1,356.21,75.5
7411,633,220,3,651.74,33.44
7412,520,208,3,83.1,17.67
7413,522,27,10,296.63,56.13
7414,157,189,6,130.8,28.97
7415,395,7,7,471.44,88.96
7416,540,64,1,365.05,42.12
7417,420,291,8,120.58,10.2
7418,460,145,3,730.95,127.59
7419,457,223,7,497.83,28.14
7420,581,269,2,390.56,57.09
7421,498,44,9,186.03,33.59
7422,400,69,5,234.76,57.04
7423,40,28,2,375.51,60.31
7424,27,237,1,178.72,29.5
7425,483,279,4,63.45,5.6
7426,803,57,6,562.49,100.85
7427,580,72,3,140.01,24.99
7428,127,87,4,17.42,3.55
7429,453,287,8,444.75,70.71
7430,744,272,5,69.11,4.41
7431,921,49,10,462.98,25
7432,812,175,7,251.97,57.49
7433,984,278,3,156.24,31.89
7434,876,37,5,98.6,10.39
7435,398,245,5,279.57,52.48
7436,312,67,1,464.12,92.3
7437,895,116,7,375.77,83.12
7438,501,172,3,183.54,25.16
7439,675,154,3,412.69,62.04
7440,296,43,7,690.38,120.9
7441,666,266,7,602.99,90.41
7442,315,57,4,301.95,73.98
7443,407,11,2,534.9,46.59
7444,234,26,2,430.34,32.43
7445,444,87,9,322.42,22.09
7446,743,205,6,605.42,83.23
7447,920,246,8,380.66,43.56
7448,624,64,4,551.39,58.57
7449,223,112,9,613.06,77.87
7450,632,49,7,577.46,60.88
7451,47,249,3,388.56,44.13
7452,545,298,7,170.09,8.87
7453,424,285,7,158.96,11.5
7454,70,184,5,742.32,39.68
7455,98,296,2,98.65,11.86
7456,609,107,6,51.15,8.73
7457,952,275,2,551.85,34.8
7458,844,71,4,77.91,19.26
7459,610,261,8,104.42,22.48
7460,499,100,3,85.41,16.83
7461,215,85,8,738.01,93.17
7462,73,92,1,445.4,34.48
7463,13,142,9,156.6,30.08
7464,443,150,1,29.19,4.98
7465,644,110,9,39.38,4.31
7466,408,293,7,694.75,70.19
7467,969,192,6,70.75,16.88
7468,366,53,3,217.94,29.9
7469,942,116,6,503.14,123.23
7470,833,228,5,731.24,115.51
7471,457,84,9,74.79,16.58
7472,634,228,6,174.09,14.88
7473,991,82,5,429.51,75.95
7474,369,12,3,276.18,30.56
7475,522,156,6,605.81,37.83
7476,47,219,8,681.95,105.35
7477,531,278,9,483.97,33.28
7478,536,205,3,473.17,110
7479,892,10,1,431.81,95.2
7480,291,293,7,40.45,8.09
7481,119,173,3,672.56,155.84
7482,713,66,3,202.45,18.58
7483,665,71,6,337.34,17.22
7484,346,113,4,280.68,14.9
7485,552,251,8,652.92,123.07
7486,629,6,1,282.46,30.46
7487,108,283,6,530.69,90.92
7488,327,184,2,56.16,11.79
7489,228,73,10,662.14,162.27
7490,351,23,1,317.95,36.83
7491,502,163,8,618.73,143.42
7492,454,134,9,470.93,93.59
7493,605,126,4,53.11,5.47
7494,976,238,8,164.74,38.28
7495,757,260,7,598.11,131.59
7496,345,233,6,554.98,31.52
7497,926,167,5,623.7,34.76
7498,497,129,1,569.6,79.69
7499,733,142,5,41.24,9.58
7500,294,223,9,517.82,33.91
7501,103,18,8,237.85,58.4
7502,542,297,6,61.33,12.62
7503,407,254,5,175.36,25.23
7504,538,134,8,141.35,30.39
7505,542,202,8,98.67,15.47
7506,145,100,8,525.1,33.72
7507,696,143,10,86.66,20.31
7508,759,208,7,590.06,58.48
7509,600,42,10,549.68,111.38
7510,495,30,3,741.36,41
7511,900,16,8,720.84,60.4
7512,579,26,4,690.05,160.47
7513,386,89,7,350.94,67.53
7514,988,210,4,226.85,39.03
7515,874,95,9,14.08,2.66
7516,210,49,7,508.37,47.84
7517,118,270,2,109.58,23.16
7518,575,73,6,657.22,156.23
7519,869,144,8,56.3,11.16
7520,62,205,1,88.31,10.98
7521,707,236,1,717.12,54.05
7522,4,35,5,548.05,90.26
7523,697,78,4,260.57,58.01
7524,895,268,9,678.08,110.8
7525,379,157,7,597.98,41.09
7526,189,141,6,582.77,122.19
7527,720,122,5,39.6,2.65
7528,944,186,5,189.57,37.56
7529,502,189,9,528.45,93.1
7530,434,274,5,88.45,11.07
7531,337,180,2,645.89,102.22
7532,425,231,3,47.91,4.13
7533,172,126,3,678.32,148.78
7534,760,276,10,544.01,91.69
7535,345,268,4,144.81,30.4
7536,610,258,10,408.82,57.91
7537,183,124,3,448.29,80.19
7538,225,281,1,404.7,98.55
7539,119,260,7,427.23,100.23
7540,24,203,5,702.32,52.32
7541,129,76,5,280.67,36.88
7542,802,215,3,447.03,48.07
7543,748,70,4,383.77,30.97
7544,88,51,1,693.34,92.82
7545,689,129,4,637.03,155.92
7546,486,115,6,702.37,40.66
7547,338,198,4,692.74,171.33
7548,494,151,5,279.23,52.91
7549,179,130,6,684.74,85.49
7550,464,54,4,259.3,35.4
7551,302,33,4,107.79,25.4
7552,711,263,10,722.47,173.42
7553,67,200,2,163.08,28.59
7554,544,95,10,157.55,30.43
7555,446,162,4,485.23,61.26
7556,728,267,8,132.74,28.1
7557,68,16,6,392.84,72.81
7558,319,135,3,667.89,78.58
7559,745,297,5,171.52,21.01
7560,638,198,4,293.72,16.14
7561,124,139,2,324.16,45.81
7562,361,155,5,289.83,69.83
7563,922,60,9,540.92,77.15
7564,692,89,2,137.09,13.57
7565,266,73,7,460.53,90.8
7566,423,94,9,271.68,23.03
7567,613,84,2,160.88,33.45
7568,659,233,10,553.05,34.43
7569,161,166,6,462.02,97.21
7570,279,189,1,589.26,116.7
7571,493,55,10,352.62,64.03
7572,28,126,6,424.17,81.18
7573,664,273,6,663.88,133.59
7574,83,162,10,231.5,41.62
7575,14,190,10,111.73,6.88
7576,273,82,10,544.77,133.9
7577,915,155,5,2.2,0.43
7578,469,104,9,134.92,16.19
7579,647,38,9,663.55,106.79
7580,148,121,4,133.37,23.61
7581,327,284,5,158.44,15.73
7582,489,126,4,320.39,21.03
7583,54,123,2,434.78,41.71
7584,949,297,6,636.83,149.71
7585,490,63,4,571.22,41.79
7586,585,57,7,415.16,47.89
7587,855,173,9,540.52,94.56
7588,818,113,5,596.74,147.67
7589,77,154,7,740.39,132.21
7590,74,263,5,74.04,5.32
7591,56,145,8,511.31,54.19
7592,478,229,1,483.11,59.47
7593,648,80,9,90.18,8.05
7594,835,253,9,40.76,7.46
7595,190,270,3,611.63,131.38
7596,92,273,5,131.93,23.77
7597,61,119,1,562.09,52.25
7598,148,96,1,359.15,84.75
7599,763,291,9,600.24,64.03
7600,154,214,3,668.2,53.06
7601,238,281,9,368.92,61.94
7602,188,296,8,624.49,124.16
7603,318,43,8,415.85,51.81
7604,389,24,3,405.13,87.05
7605,809,215,3,262.63,49.24
7606,791,298,1,472.82,74.01
7607,783,281,7,4.81,0.95
7608,309,175,7,597.09,134.73
7609,821,251,7,629.52,151.25
7610,155,17,2,281.59,40.84
7611,800,208,8,197.88,26.53
7612,620,186,7,363.53,71.43
7613,978,203,3,623.32,57.39
7614,32,220,4,589.82,46.33
7615,742,297,1,206.46,18.96
7616,611,57,7,463.74,62.26
7617,978,184,1,464.22,26.45
7618,717,64,6,545.95,41.69
7619,200,7,2,418.05,86.29
7620,10,119,6,52.32,2.88
7621,664,56,7,357.9,46.51
7622,743,224,6,667.82,96.29
7623,483,242,5,238.64,26.05
7624,951,277,10,522.19,66.83
7625,322,29,2,199.68,46.59
7626,796,279,7,186.68,29.83
7627,682,252,4,422.6,59.74
7628,538,201,4,627.04,78.45
7629,766,265,7,493.42,41.99
7630,63,295,6,491.6,102.35
7631,495,270,10,618.94,114.25
7632,233,47,6,517.48,57.44
7633,833,179,8,534.2,90.2
7634,464,93,7,107.86,8.11
7635,109,233,2,649.65,142.53
7636,267,224,4,449.87,99.57
7637,770,222,4,138.6,22.32
7638,986,273,2,297.08,73.86
7639,814,21,6,138.75,31.6
7640,288,65,9,238.02,56.44
7641,392,242,3,695.62,58.7
7642,859,2,6,633.36,138
7643,599,170,10,139.3,17.89
7644,861,64,6,89.25,14.99
7645,872,207,1,248.52,27.66
7646,562,192,7,332.44,64.54
7647,356,37,5,505.08,32.5
7648,78,252,7,98.25,10.04
7649,34,56,8,313.59,44.09
7650,951,59,8,408.51,23.32
7651,47,149,6,628.13,98.16
7652,7,165,4,400.86,26.28
7653,887,93,10,287.51,45.63
7654,587,214,1,508.19,27.12
7655,106,54,9,50.24,7.42
7656,869,209,4,7.57,1.02
7657,807,87,7,217.4,47.23
7658,785,212,7,297.63,63.15
7659,840,234,6,480.34,95.2
7660,612,230,1,168.35,12.04
7661,154,173,5,194.66,23.39
7662,409,31,4,405.84,56.7
7663,294,87,6,433.9,26.84
7664,843,100,9,355.05,86.9
7665,748,29,6,660.22,59.24
7666,682,247,7,631.28,38.64
7667,277,143,9,102.84,21.14
7668,726,31,7,181.94,18.73
7669,735,9,10,437.44,93.7
7670,473,225,5,139.07,17.35
7671,686,219,3,622.4,122.55
7672,775,123,6,515.72,83.91
7673,861,172,2,553.28,37.18
7674,842,208,2,507.96,85.73
7675,414,142,9,700.81,112.77
7676,785,219,10,478.17,40.08
7677,359,262,2,375.97,49.66
7678,997,282,5,727.88,84.82
7679,541,173,10,537.74,85.37
7680,123,118,7,695.64,59.02
7681,647,270,10,658.37,93.91
7682,526,274,9,306.56,53.68
7683,841,172,8,529.08,104.01
7684,33,3,1,615.01,95.14
7685,511,237,1,428.05,100.44
7686,5,46,4,68.18,9.96
7687,912,3,9,57.78,8.16
7688,600,31,6,312.87,27.57
7689,836,208,6,120.68,24.05
7690,656,71,10,602.86,119.09
7691,730,251,5,486.16,89.75
7692,656,11,2,629.48,132.32
7693,180,124,5,500.73,45.21
7694,190,283,7,13.18,2.84
7695,121,169,9,136.8,19.19
7696,45,3,5,253.12,20.32
7697,203,185,5,717.58,95.3
7698,510,162,6,613,96.49
7699,927,215,7,585.99,36.66
7700,386,26,4,571.32,71.13
7701,1000,159,5,14.78,1.31
7702,556,18,10,598.54,62.18
7703,706,189,9,270.76,47.07
7704,70,295,9,620.21,37.13
7705,22,106,5,192.95,25.41
7706,811,247,2,569.57,63.97
7707,964,45,10,664.62,68.39
